DATE,GDP
2010-01-01,14681.1
2010-04-01,14888.6
2010-07-01,15057.7
2010-10-01,15230.2
2011-01-01,15238.4
2011-04-01,15460.9
2011-07-01,15587.1
2011-10-01,15785.3
2012-01-01,15973.9
2012-04-01,16121.9
2012-07-01,16227.9
2012-10-01,16297.3
2013-01-01,16475.4
2013-04-01,16541.4
2013-07-01,16749.3
2013-10-01,16999.9
2014-01-01,17025.2
2014-04-01,17285.6
2014-07-01,17569.4
2014-10-01,17692.2
2015-01-01,17783.6
2015-04-01,17998.3
2015-07-01,18141.9
2015-10-01,18222.8
2016-01-01,18281.6
2016-04-01,18450.1
2016-07-01,18675.3
2016-10-01,18869.4
2017-01-01,19027.1
